Trait,Model,SNPs,R2,RMSE,PearsonR,Source
Mature,LightGBM,1000,0.2953,1.2993,0.5461,res/base/Mature/results.txt
Mature,Lasso,1000,0.2885,1.3056,0.5372,res/base/Mature/results.txt
Mature,RandomForest,3000,0.2289,1.3592,0.5065,res/base/Mature/results.txt
Mature,XGBoost,3000,0.3102,1.2856,0.5592,res/base/Mature/results.txt
Mature,LightGBM,3000,0.3226,1.2739,0.5751,res/base/Mature/results.txt
Mature,Lasso,3000,0.2432,1.3465,0.5046,res/base/Mature/results.txt
Mature,RandomForest,5000,0.2101,1.3757,0.4827,res/base/Mature/results.txt
Mature,XGBoost,5000,0.3278,1.2690,0.5781,res/base/Mature/results.txt
Mature,LightGBM,5000,0.2843,1.3095,0.5366,res/base/Mature/results.txt
Mature,Lasso,5000,0.1721,1.4083,0.4646,res/base/Mature/results.txt
gns,RandomForest,100,0.1667,4.3795,0.4177,res/base/gns/results.txt
gns,XGBoost,100,0.1698,4.3713,0.4479,res/base/gns/results.txt
gns,LightGBM,100,0.1672,4.3783,0.4403,res/base/gns/results.txt
gns,Lasso,100,0.1999,4.2913,0.4486,res/base/gns/results.txt
gns,RandomForest,7000,0.3263,3.9379,0.5749,res/base/gns/results.txt
gns,XGBoost,7000,0.3080,3.9909,0.5625,res/base/gns/results.txt
gns,LightGBM,7000,0.2756,4.0834,0.5380,res/base/gns/results.txt
gns,Lasso,7000,0.2879,4.0485,0.5468,res/base/gns/results.txt
gns,RandomForest,1000,0.2788,4.0743,0.5339,res/base/gns/results.txt
gns,XGBoost,1000,0.2576,4.1339,0.5408,res/base/gns/results.txt
gns,LightGBM,1000,0.2353,4.1955,0.5099,res/base/gns/results.txt
gns,Lasso,1000,0.2882,4.0477,0.5407,res/base/gns/results.txt
gns,RandomForest,3000,0.2739,4.0881,0.5257,res/base/gns/results.txt
gns,XGBoost,3000,0.2882,4.0477,0.5574,res/base/gns/results.txt
gns,LightGBM,3000,0.2789,4.0741,0.5397,res/base/gns/results.txt
gns,Lasso,3000,0.2835,4.0611,0.5424,res/base/gns/results.txt
gns,RandomForest,5000,0.2935,4.0327,0.5475,res/base/gns/results.txt
gns,XGBoost,5000,0.3292,3.9295,0.5837,res/base/gns/results.txt
gns,LightGBM,5000,0.2764,4.0810,0.5389,res/base/gns/results.txt
gns,Lasso,5000,0.3055,3.9982,0.5618,res/base/gns/results.txt
cold,RandomForest,100,0.0860,0.1277,0.3215,res/base/cold/results.txt
cold,XGBoost,100,0.0931,0.1272,0.3143,res/base/cold/results.txt
cold,LightGBM,100,0.1215,0.1252,0.3600,res/base/cold/results.txt
cold,Lasso,100,0.1294,0.1246,0.3701,res/base/cold/results.txt
cold,RandomForest,7000,0.2409,0.1163,0.4931,res/base/cold/results.txt
cold,XGBoost,7000,0.2096,0.1187,0.5092,res/base/cold/results.txt
cold,LightGBM,7000,0.2200,0.1179,0.4869,res/base/cold/results.txt
cold,Lasso,7000,0.2304,0.1171,0.4881,res/base/cold/results.txt
cold,RandomForest,1000,0.2111,0.1186,0.4647,res/base/cold/results.txt
cold,XGBoost,1000,0.1999,0.1194,0.4921,res/base/cold/results.txt
cold,LightGBM,1000,0.1848,0.1206,0.4682,res/base/cold/results.txt
cold,Lasso,1000,0.2096,0.1187,0.4682,res/base/cold/results.txt
cold,RandomForest,3000,0.2389,0.1165,0.4921,res/base/cold/results.txt
cold,XGBoost,3000,0.2556,0.1152,0.5082,res/base/cold/results.txt
cold,LightGBM,3000,0.2119,0.1185,0.4822,res/base/cold/results.txt
cold,Lasso,3000,0.2205,0.1179,0.4784,res/base/cold/results.txt
cold,RandomForest,5000,0.2495,0.1157,0.5037,res/base/cold/results.txt
cold,XGBoost,5000,0.2620,0.1147,0.5135,res/base/cold/results.txt
cold,LightGBM,5000,0.2199,0.1179,0.4877,res/base/cold/results.txt
cold,Lasso,5000,0.2288,0.1173,0.4866,res/base/cold/results.txt
tiller,RandomForest,100,0.1846,0.2765,0.4333,res/base/tiller/results.txt
tiller,XGBoost,100,0.1775,0.2777,0.4227,res/base/tiller/results.txt
tiller,LightGBM,100,0.1723,0.2786,0.4653,res/base/tiller/results.txt
tiller,Lasso,100,0.1891,0.2758,0.4480,res/base/tiller/results.txt
tiller,RandomForest,7000,0.1999,0.2739,0.4521,res/base/tiller/results.txt
tiller,XGBoost,7000,0.1630,0.2802,0.4270,res/base/tiller/results.txt
tiller,LightGBM,7000,0.1698,0.2790,0.4355,res/base/tiller/results.txt
tiller,Lasso,7000,0.1638,0.2800,0.4167,res/base/tiller/results.txt
tiller,RandomForest,1000,0.1940,0.2749,0.4427,res/base/tiller/results.txt
tiller,XGBoost,1000,0.1648,0.2799,0.4604,res/base/tiller/results.txt
tiller,LightGBM,1000,0.1614,0.2804,0.4451,res/base/tiller/results.txt
tiller,Lasso,1000,0.2093,0.2723,0.4627,res/base/tiller/results.txt
tiller,RandomForest,3000,0.2002,0.2739,0.4522,res/base/tiller/results.txt
tiller,XGBoost,3000,0.1600,0.2807,0.4306,res/base/tiller/results.txt
tiller,LightGBM,3000,0.1742,0.2783,0.4364,res/base/tiller/results.txt
tiller,Lasso,3000,0.2010,0.2737,0.4532,res/base/tiller/results.txt
tiller,RandomForest,5000,0.1948,0.2748,0.4458,res/base/tiller/results.txt
tiller,XGBoost,5000,0.1629,0.2802,0.4327,res/base/tiller/results.txt
tiller,LightGBM,5000,0.1807,0.2772,0.4544,res/base/tiller/results.txt
tiller,Lasso,5000,0.1973,0.2744,0.4489,res/base/tiller/results.txt
yield,RandomForest,100,0.2284,45.3505,0.4796,res/base/yield/results.txt
yield,XGBoost,100,0.2131,45.7983,0.4887,res/base/yield/results.txt
